court_name,males_perc,age_0_9_perc,age_18_25_perc,age_45._perc,single_perc,eth_white_perc,eth_asian_perc,eth_black_perc,birth_UK_perc,christian_perc,muslim_perc,social_rented_perc,house_owned_perc,no_central_heating_perc,job_unemployed_perc
61,0.565587734,0.143100511,0.110732538,0.553662692,0.467948718,0.60306644,0.262350937,0.049403748,0.700170358,0.451448041,0.224872232,0.398406375,0.28685259,0.019920319,0.068720379
62,0.524193548,0.059139785,0.3125,0.491599462,0.562174237,0.804435484,0.132728495,0.012432796,0.814852151,0.453293011,0.086693548,0.107566766,0.479228487,0.022255193,0.036897275
63,0.567963618,0.104092976,0.12834765,0.559373421,0.447831184,0.588681152,0.35219808,0.019201617,0.500757959,0.533097524,0.072764022,0.054919908,0.343249428,0.035469108,0.063842848
NA,0.471943888,0.086172345,0.126252505,0.646292585,0.382420091,0.931863727,0.039078156,0.003006012,0.829659319,0.563126253,0.009018036,0.11033275,0.516637478,0.028021016,0.041724618
64,0.471943888,0.086172345,0.126252505,0.646292585,0.382420091,0.931863727,0.039078156,0.003006012,0.829659319,0.563126253,0.009018036,0.11033275,0.516637478,0.028021016,0.041724618
65,0.564561734,0.069745523,0.213949105,0.568331762,0.579390116,0.686145146,0.21866164,0.028275212,0.774740811,0.459000943,0.176248822,0.561174551,0.156606852,0.032626427,0.126931567
NA,0.478743068,0.099815157,0.096118299,0.661737523,0.386885246,0.959334566,0.017560074,0,0.92883549,0.536044362,0.005545287,0.173752311,0.473197782,0.051756007,0.033210332
66,0.478743068,0.099815157,0.096118299,0.661737523,0.386885246,0.959334566,0.017560074,0,0.92883549,0.536044362,0.005545287,0.173752311,0.473197782,0.051756007,0.033210332
NA,0.561618062,0.090310442,0.121354657,0.605832549,0.492029756,0.836312324,0.116650988,0.012229539,0.760112888,0.583254939,0.074317968,0.249097473,0.328519856,0.030685921,0.059564719
67,0.532538955,0.038496792,0.233730522,0.529789184,0.621124031,0.884509624,0.076993584,0.004582951,0.771769019,0.501374885,0.022914757,0.079934747,0.415986949,0.050570962,0.030139935
NA,0.480686695,0.098712446,0.053218884,0.743347639,0.224346076,0.976824034,0.016309013,0.002575107,0.932188841,0.73304721,0.010300429,0.037037037,0.840155945,0.013645224,0.0225
NA,0.504607046,0.08401084,0.109485095,0.666124661,0.363749224,0.950677507,0.02601626,0.002710027,0.915447154,0.56097561,0.011924119,0.169791667,0.478125,0.063541667,0.059280169
68,0.501081081,0.064324324,0.131891892,0.625945946,0.496664645,0.901081081,0.061081081,0.01027027,0.818918919,0.537837838,0.008108108,0.188222923,0.462670873,0.034700315,0.032989691
69,0.558184143,0.061381074,0.515984655,0.27173913,0.793606671,0.558184143,0.181585678,0.124040921,0.646419437,0.469309463,0.074808184,0.361493124,0.265225933,0.055009823,0.077574048
70,0.479750058,0.14950243,0.110622541,0.517935663,0.50719856,0.519324231,0.141402453,0.214070817,0.461467253,0.456838695,0.237907892,0.405779651,0.237808549,0.021071644,0.068018721
71,0.747134187,0.107889413,0.29467296,0.432906271,0.651764706,0.505731625,0.099797707,0.29467296,0.71072151,0.522589346,0.120701281,0.298804781,0.422310757,0.035856574,0.066089693
72,0.531724754,0.068364611,0.271224307,0.483467382,0.6408867,0.852993744,0.100089366,0.020107239,0.785522788,0.478552279,0.063002681,0.107506951,0.326227989,0.062094532,0.049769112
73,0.566401816,0.05107832,0.171396141,0.549375709,0.588306943,0.836549376,0.116912599,0.00908059,0.691259932,0.404086266,0.028376844,0.143141153,0.256461233,0.043737575,0.044642857
