Sentencing.court,Aggravating.72,Mitigating.36,disorder,affray,GBH,intent,common,custody
6,under influence drugs/alcohol,,,,,,,
6,,,,,,,,immediate custody
6,under influence drugs/alcohol,genuine remorse,,,,,,
6,,,,,,,,
6,,genuine remorse,,,,,,
6,,genuine remorse,,,,,,
6,,,,,,,,immediate custody
6,,genuine remorse,,,,,,
6,,,,,,,,
6,under influence drugs/alcohol,genuine remorse,,,,,,
6,,,,,grievous bodily harm,,,
6,,,,,grievous bodily harm,,,
6,,,,,grievous bodily harm,,,immediate custody
6,,,,,grievous bodily harm,,,
6,,,,,grievous bodily harm,,,immediate custody
6,,,,,grievous bodily harm,,,
6,,,,,,grievous bodily harm with intent,,immediate custody
6,,,,,,grievous bodily harm with intent,,
6,under influence drugs/alcohol,genuine remorse,,,,grievous bodily harm with intent,,immediate custody
6,,,,,,grievous bodily harm with intent,,immediate custody
6,under influence drugs/alcohol,,,,,grievous bodily harm with intent,,immediate custody
6,,genuine remorse,,,,grievous bodily harm with intent,,immediate custody
6,,,,,,grievous bodily harm with intent,,immediate custody
6,,,,,,grievous bodily harm with intent,,immediate custody
6,,genuine remorse,,,,grievous bodily harm with intent,,immediate custody
6,,,,,,,common assault,
6,under influence drugs/alcohol,,,,,,common assault,
6,under influence drugs/alcohol,genuine remorse,,,,,common assault,
21,,,,,,,,immediate custody
21,,,,,,,,immediate custody
21,under influence drugs/alcohol,genuine remorse,,,,,,immediate custody
21,under influence drugs/alcohol,,,,,,,immediate custody
21,under influence drugs/alcohol,,,,,,,immediate custody
21,under influence drugs/alcohol,,,affray,,,,
21,,,,affray,,,,
21,,genuine remorse,,affray,,,,immediate custody
21,,,,,,,common assault,
21,under influence drugs/alcohol,genuine remorse,,,,,common assault,
21,under influence drugs/alcohol,,,,grievous bodily harm,,,immediate custody
21,under influence drugs/alcohol,,,,grievous bodily harm,,,
21,,,,,grievous bodily harm,,,immediate custody
8,,,,affray,,,,
8,,,,affray,,,,
8,,genuine remorse,,affray,,,,
8,,,,affray,,,,immediate custody
8,,,,affray,,,,immediate custody
8,,,,affray,,,,immediate custody
8,,,,affray,,,,
8,,,,affray,,,,
8,,,,affray,,,,
8,,,,,,,,immediate custody
8,,,,,,,,
8,,genuine remorse,,,,,,
8,,,,,,,,immediate custody
8,,,,,,,,
8,,genuine remorse,,,,,,immediate custody
8,,,,,,,,
8,,,,,,,,immediate custody
8,,genuine remorse,,,,,,
8,,,,,,,,
8,,genuine remorse,,,,,,
8,under influence drugs/alcohol,,,,,,,immediate custody
8,,,,,,,,
8,,genuine remorse,,,,,,
8,under influence drugs/alcohol,,,,,,,
8,,,,,,,,
8,,genuine remorse,,,,,,immediate custody
8,,,,,,,,
8,,genuine remorse,,,grievous bodily harm,,,immediate custody
8,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,
8,,,,,grievous bodily harm,,,immediate custody
8,,genuine remorse,,,grievous bodily harm,,,
8,,genuine remorse,,,grievous bodily harm,,,
8,,,,,grievous bodily harm,,,
8,under influence drugs/alcohol,,,,,grievous bodily harm with intent,,immediate custody
8,,,,,,grievous bodily harm with intent,,immediate custody
8,under influence drugs/alcohol,genuine remorse,,,,grievous bodily harm with intent,,immediate custody
8,,,,,,grievous bodily harm with intent,,immediate custody
8,,,,,,,common assault,
8,,,,,,,common assault,immediate custody
8,,,,,,,common assault,immediate custody
8,,,,,,,common assault,
8,,,violent disorder,,,,,immediate custody
8,,,violent disorder,,,,,
8,,,violent disorder,,,,,
8,,,violent disorder,,,,,immediate custody
8,,,violent disorder,,,,,
9,,,,affray,,,,immediate custody
9,,,,affray,,,,immediate custody
9,under influence drugs/alcohol,,,,,,,immediate custody
9,under influence drugs/alcohol,genuine remorse,,,,,,immediate custody
9,,genuine remorse,,,,,,
9,,,,,,,,
9,,,,,,,,
9,under influence drugs/alcohol,,,,,,,immediate custody
9,,,,,,,,immediate custody
9,,genuine remorse,,,,,,
9,,genuine remorse,,,,,,
9,under influence drugs/alcohol,,,,,,,
9,,,,affray,,,,immediate custody
9,,,,,,,common assault,immediate custody
9,,,,,,,common assault,immediate custody
9,,,,,,grievous bodily harm with intent,,immediate custody
9,,genuine remorse,,,grievous bodily harm,,,
9,,,,,grievous bodily harm,,,immediate custody
9,,,,,,grievous bodily harm with intent,,immediate custody
9,,genuine remorse,,,grievous bodily harm,,,
10,,,,affray,,,,
10,,,,affray,,,,
10,under influence drugs/alcohol,,,affray,,,,
10,,,,affray,,,,
10,,,,affray,,,,
10,under influence drugs/alcohol,genuine remorse,,affray,,,,
10,under influence drugs/alcohol,,,affray,,,,
10,,,,affray,,,,
10,,genuine remorse,,affray,,,,
10,under influence drugs/alcohol,genuine remorse,,,,,,
10,,,,,,,,immediate custody
10,under influence drugs/alcohol,,,,,,,immediate custody
10,,genuine remorse,,,,,,
10,,,,,,,,immediate custody
10,,,,,,,,immediate custody
10,,genuine remorse,,,,,,immediate custody
10,,,,,,,,immediate custody
10,,genuine remorse,,,,,,
10,,,,,,,,
10,,,,,,,,immediate custody
10,,,,,,,,immediate custody
10,,,,,,,,
10,,,,,,,,immediate custody
10,,,,,,,,immediate custody
10,,,,,,,,
10,,,,,,,,immediate custody
10,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,immediate custody
10,under influence drugs/alcohol,,,,grievous bodily harm,,,immediate custody
10,,genuine remorse,,,grievous bodily harm,,,
10,,,,,,grievous bodily harm with intent,,immediate custody
10,under influence drugs/alcohol,,,,,grievous bodily harm with intent,,immediate custody
10,,genuine remorse,,,,grievous bodily harm with intent,,
10,,,,,,grievous bodily harm with intent,,immediate custody
10,,,,,,grievous bodily harm with intent,,immediate custody
10,,,,,,grievous bodily harm with intent,,immediate custody
10,,genuine remorse,,,,,common assault,
10,,genuine remorse,,,,,common assault,
12,,,,,,,,
12,,,,,,,,
12,,,,,,,,
12,,genuine remorse,,,,,,
12,under influence drugs/alcohol,genuine remorse,,,,,,
12,under influence drugs/alcohol,genuine remorse,,,,,,
12,under influence drugs/alcohol,genuine remorse,,,,,,
12,under influence drugs/alcohol,genuine remorse,,,,,,
12,under influence drugs/alcohol,genuine remorse,,,,,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,,,,immediate custody
12,,,,,,,,
12,,,,,,,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,,,,
