Sentencing.court,Step1HigherCulpA,Step1HigherCulpC,Step1HigherCulpD,Step1HigherCulpF,Step1HigherCulpG,Step1HigherCulpI,Step1HigherCulpJ,Step1HigherHarmA,Step1HigherHarmB,Step1HigherHarmC,Step1LowerCulpA,Step1LowerCulpB,Step1LowerCulpC,Step1LowerCulpD,Step1LowerCulpE,Step1LowerHarmA,Aggravating.3,Aggravating.5,Aggravating.9,Aggravating.19,Aggravating.25,Aggravating.26,Aggravating.28,Aggravating.37,Aggravating.44,Aggravating.45,Aggravating.54,Aggravating.55,Aggravating.70,Aggravating.72,Mitigating.3,Mitigating.6,Mitigating.16,Mitigating.20,Mitigating.22,Mitigating.24,Mitigating.25,Mitigating.29,Mitigating.33,Mitigating.36,Mitigating.39,pleafirst,disorder,affray,GBH,intent,common,custody
7,,,,,,,use of weapon,,,,,,,,,,,,,,,,,,,,,,,,,lack of maturity,good character,,lapse of time,,,no previous convictions,,genuine remorse,,,,,grievous bodily harm,,,
7,,,leading role gang,,,,,,,,lack of premeditation,,,,,less serious injury,,,,,,,,,,,,,,,,lack of maturity,good character,,,,,no previous convictions,primary carer,genuine remorse,,,,,grievous bodily harm,,,
7,deliberate harm,,,,,vulnerable victim,use of weapon,serious injury,,,,,,,,,,,,,,,,,,ongoing effect,,,,under influence drugs/alcohol,,lack of maturity,,isolated incident,,,,,,genuine remorse,single blow,,,,grievous bodily harm,,,immediate custody
7,,,,,,,,,,,lack of premeditation,,,,,less serious injury,,,,,,,,,,ongoing effect,,,,,,lack of maturity,good character,,,,mental disability (general),no previous convictions,,genuine remorse,single blow,early guilty plea,,,grievous bodily harm,,,
7,,,,,,,,serious injury,,,lack of premeditation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,genuine remorse,single blow,early guilty plea,,,grievous bodily harm,,,immediate custody
7,,,,,,,,,,,,,,,,,,,,,,,,location,,,presence of others,,,under influence drugs/alcohol,,,,,,,,,,genuine remorse,single blow,,,,grievous bodily harm,,,immediate custody
7,,,,,,,,,,,lack of premeditation,,,,,,,,,,,,,location,,,presence of others,previous violence,timing of the offence,under influence drugs/alcohol,addressing addiction,,,,,,,,,genuine remorse,single blow,early guilty plea,,,grievous bodily harm,,,immediate custody
7,,,,,,,use of weapon,,,,,,,selfdefence,,less serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grievous bodily harm,,,immediate custody
7,,,leading role gang,premeditation,,,use of weapon,,,,,,,,,less serious injury,,,,,,,,location,,,presence of others,previous violence,timing of the offence,under influence drugs/alcohol,addressing addiction,,,,,,,,,genuine remorse,,,,,grievous bodily harm,,,immediate custody
7,,,,,,,use of weapon,serious injury,,,lack of premeditation,,provocation,,,,,,,,,,,,,ongoing effect,,,,,,,,isolated incident,lapse of time,,,,,,single blow,,,,grievous bodily harm,,,
7,,,,,,,,serious injury,,,lack of premeditation,,provocation,selfdefence,,,,,,,,,,,,,,,,,,,,isolated incident,,,,no previous convictions,,genuine remorse,,,,,grievous bodily harm,,,
7,,,,,,,,,repeated assault,,,,provocation,,,,,,,,,,,location,,,,,,,addressing addiction,,,,,,,,,genuine remorse,,,,,grievous bodily harm,,,
