UNIQUE_ID,MONTH,AGE,GENDER,OFFENCE,OUTCOME,LENGTH,SERIOUSNESS,PREV_CONVICTIONS,APO_GREATER_HARM_1,APO_GREATER_HARM_2,APO_GREATER_HARM_3,APO_LESSER_HARM_1,APO_HIGHER_CULP_STAT_1,APO_HIGHER_CULP_STAT_2,APO_HIGHER_CULP_STAT_3,APO_HIGHER_CULP_STAT_4,APO_HIGHER_CULP_OTHER_1,APO_HIGHER_CULP_OTHER_2,APO_HIGHER_CULP_OTHER_3,APO_HIGHER_CULP_OTHER_4,APO_HIGHER_CULP_OTHER_5,APO_HIGHER_CULP_OTHER_6,APO_HIGHER_CULP_OTHER_7,APO_LOWER_CULP_1,APO_LOWER_CULP_2,APO_LOWER_CULP_3,APO_LOWER_CULP_4,APO_LOWER_CULP_5,APO_INCREASING_SER_STAT_1,APO_INCREASING_SER_STAT_2,APO_INCREASING_SER_STAT_NONE,APO_INCREASING_SER_OTHER_1,APO_INCREASING_SER_OTHER_2,APO_INCREASING_SER_OTHER_3,APO_INCREASING_SER_OTHER_4,APO_INCREASING_SER_OTHER_5,APO_INCREASING_SER_OTHER_6,APO_INCREASING_SER_OTHER_7,APO_INCREASING_SER_OTHER_8,APO_INCREASING_SER_OTHER_9,APO_INCREASING_SER_OTHER_10,APO_INCREASING_SER_OTHER_11,APO_INCREASING_SER_OTHER_12,APO_INCREASING_SER_OTHER_13,APO_INCREASING_SER_OTHER_14,APO_INCREASING_SER_OTHER_15,APO_INCREASING_SER_OTHER_16,APO_INCREASING_SER_OTHER_17,APO_INCREASING_SER_OTHER_18,APO_INCREASING_SER_OTHER_NONE,APO_REDUCING_SER_1,APO_REDUCING_SER_2,APO_REDUCING_SER_3,APO_REDUCING_SER_4,APO_REDUCING_SER_5,APO_REDUCING_SER_6,APO_REDUCING_SER_7,APO_REDUCING_SER_8,APO_REDUCING_SER_9,APO_REDUCING_SER_10,APO_REDUCING_SER_11,APO_REDUCING_SER_NONE,GUILT_IND_POLICE,GP_STAGE,GP_DISCOUNT,GP_FIRST_OPP,APO_SECTION29_OFFENCE
sc-apo-141234-016494,July,25 to 34,Male,Affray,SSO,-,No guideline,None,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mental disorder/learning disability where linked to the,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,Remorse,-,Determination/demonstration to address addiction/behaviour,-,-,-,-,-,-,-,Yes,"Up to, or at, the PCMH",-,Yes,Not Asked
sc-apo-141234-016495,July,18 to 24,Male,S.4 POA,CO,-,No guideline,None,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Yes,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-141234-016496,July,25 to 34,Male,S.20,Immediate custody,Over 18 months and up to 3 years,2,None,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Yes,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-141234-016497,June,25 to 34,Male,S.20,Immediate custody,Over 18 months and up to 3 years,2,None,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Yes,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-141234-016498,July,18 to 24,Male,Common assault,Immediate custody,Over 3 months and up to 6 months,Not answered,1 to 3,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,-,-,On going effect on victim,-,-,-,Victim compelled to leave home (domestic violence in particular),Failure to comply with current court orders,On licence,-,-,-,-,-,-,-,-,-,-,-,Single blow,-,-,-,-,-,-,-,-,-,-,No,Not Asked,-,Not Asked,Not Answered
sc-apo-141234-016499,July,45 to 54,Male,S.47,SSO,-,3,None,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No previous relevant convictions,-,-,Good character/exemplary conduct,-,-,Isolated incident,-,-,-,-,-,Not Answered,After the PCMH but before the day of trial,-,Not Answered,Not Answered
sc-apo-141234-016500,August,25 to 34,Male,S.20,Immediate custody,Over 18 months and up to 3 years,2,1 to 3,-,-,Sustained or repeated assault on same person,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,-,Lack of premeditation,-,-,Previous relevant convictions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,-,No,"On, or after, the day of trial",10%,No,Not Answered
sc-apo-141234-016501,July,Over 54,Male,Affray,SSO,-,No guideline,None,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,Not Asked,-,Not Asked,Not Asked
sc-apo-141234-016502,July,18 to 24,Male,Common assault,SSO,-,1,None,-,-,-,None stated,Race/religion,-,-,-,-,-,-,-,Targeting of vulnerable victim(s),Leading role in group or gang,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,Gratuitous degradation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Remorse,-,-,-,-,-,-,-,-,-,Yes,"On, or after, the day of trial",10%,No,Yes
sc-apo-141234-016503,August,18 to 24,Male,S.20,Immediate custody,Over 6 months to less than 12,2,1 to 3,Injury/fear of injury which is serious in context of the offence,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,Timing,On going effect on victim,-,Presence of others,-,-,-,-,Attempt to conceal/dispose of evidence,-,-,-,-,-,-,-,-,-,-,Single blow,Remorse,Good character/exemplary conduct,-,-,Isolated incident,-,-,-,-,-,Yes,"Up to, or at, the PCMH",25%,No,Not Answered
sc-apo-141234-016504,August,18 to 24,Male,S.47,Immediate custody,Over 18 months and up to 3 years,1,10 or more,-,Victim particularly vulnerable,Sustained or repeated assault on same person,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,Targeting of vulnerable victim(s),-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,Timing,On going effect on victim,-,-,-,-,-,-,-,-,Offender was under the influence of alcohol/drugs,Abuse of power/trust,-,-,-,-,-,-,-,-,Remorse,-,-,-,-,-,-,-,-,-,Yes,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-141234-016505,December,25 to 34,Male,S.47,Immediate custody,Over 18 months and up to 3 years,2,1 to 3,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,-,-,-,-,-,-,-,-,-,-,Offender was under the influence of alcohol/drugs,Abuse of power/trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,"Up to, or at, the PCMH",10%,Yes,Not Answered
